pincode,officename,pincode_type,deliverystatus,divisionname,regionname,circlename,taluk,districtname,statename,telephone,related_suboffice,related_headoffice,longitude,latitude
735136,New Delhi Central,Sub Post Office,Non-Delivery,New Delhi Division,New Delhi Region,Delhi Circle,Mandal D,New Delhi,Delhi,011-23456789,NA,New Delhi GPO,,
633294,Kolkata South,Sub Post Office,Delivery,Kolkata Division,Kolkata Region,West Bengal Circle,Tehsil B,Kolkata,West Bengal,011-23456789,NA,Kolkata GPO,,
625073,Lucknow North,Sub Post Office,Delivery,Lucknow Division,Lucknow Region,Uttar Pradesh Circle,Tehsil A,Lucknow,Uttar Pradesh,011-23456789,NA,Lucknow GPO,,
554053,Bangalore Town Hall,Head Post Office,Delivery,Bangalore Division,Bangalore Region,Karnataka Circle,Mandal D,Bangalore,Karnataka,011-23456789,NA,Bangalore GPO,,
866963,Chennai Market,Branch Post Office,Non-Delivery,Chennai Division,Chennai Region,Tamil Nadu Circle,Tehsil B,Chennai,Tamil Nadu,011-23456789,NA,Chennai GPO,,
491377,Lucknow Industrial Area,Branch Post Office,Delivery,Lucknow Division,Lucknow Region,Uttar Pradesh Circle,Block C,Lucknow,Uttar Pradesh,011-23456789,NA,Lucknow GPO,,
324033,Mumbai West,Head Post Office,Delivery,Mumbai Division,Mumbai Region,Maharashtra Circle,Block C,Mumbai,Maharashtra,011-23456789,NA,Mumbai GPO,,
949889,Bangalore South,Sub Post Office,Non-Delivery,Bangalore Division,Bangalore Region,Karnataka Circle,Mandal D,Bangalore,Karnataka,011-23456789,NA,Bangalore GPO,,
255646,Kolkata South,Branch Post Office,Delivery,Kolkata Division,Kolkata Region,West Bengal Circle,Mandal D,Kolkata,West Bengal,011-23456789,NA,Kolkata GPO,,
224231,Mumbai South,Head Post Office,Delivery,Mumbai Division,Mumbai Region,Maharashtra Circle,Mandal D,Mumbai,Maharashtra,011-23456789,NA,Mumbai GPO,,
247547,New Delhi South,Sub Post Office,Non-Delivery,New Delhi Division,New Delhi Region,Delhi Circle,Tehsil A,New Delhi,Delhi,011-23456789,NA,New Delhi GPO,,
975359,Kolkata South,Branch Post Office,Non-Delivery,Kolkata Division,Kolkata Region,West Bengal Circle,Tehsil B,Kolkata,West Bengal,011-23456789,NA,Kolkata GPO,,
997093,Lucknow Industrial Area,Head Post Office,Delivery,Lucknow Division,Lucknow Region,Uttar Pradesh Circle,Tehsil A,Lucknow,Uttar Pradesh,011-23456789,NA,Lucknow GPO,,
447845,Chennai Village,Branch Post Office,Delivery,Chennai Division,Chennai Region,Tamil Nadu Circle,Mandal D,Chennai,Tamil Nadu,011-23456789,NA,Chennai GPO,,
875871,Mumbai GPO,Sub Post Office,Non-Delivery,Mumbai Division,Mumbai Region,Maharashtra Circle,Tehsil A,Mumbai,Maharashtra,011-23456789,NA,Mumbai GPO,,
828852,New Delhi North,Sub Post Office,Delivery,New Delhi Division,New Delhi Region,Delhi Circle,Tehsil B,New Delhi,Delhi,011-23456789,NA,New Delhi GPO,,
416794,Kolkata East,Sub Post Office,Delivery,Kolkata Division,Kolkata Region,West Bengal Circle,Tehsil A,Kolkata,West Bengal,011-23456789,NA,Kolkata GPO,,
916536,Lucknow West,Head Post Office,Non-Delivery,Lucknow Division,Lucknow Region,Uttar Pradesh Circle,Block C,Lucknow,Uttar Pradesh,011-23456789,NA,Lucknow GPO,,
747015,New Delhi East,Branch Post Office,Delivery,New Delhi Division,New Delhi Region,Delhi Circle,Block C,New Delhi,Delhi,011-23456789,NA,New Delhi GPO,,
357588,Bangalore Central,Sub Post Office,Non-Delivery,Bangalore Division,Bangalore Region,Karnataka Circle,Block C,Bangalore,Karnataka,011-23456789,NA,Bangalore GPO,,
174940,Chennai Town Hall,Sub Post Office,Delivery,Chennai Division,Chennai Region,Tamil Nadu Circle,Tehsil B,Chennai,Tamil Nadu,011-23456789,NA,Chennai GPO,,
421491,Lucknow Market,Head Post Office,Delivery,Lucknow Division,Lucknow Region,Uttar Pradesh Circle,Tehsil A,Lucknow,Uttar Pradesh,011-23456789,NA,Lucknow GPO,,
425947,Kolkata Central,Sub Post Office,Delivery,Kolkata Division,Kolkata Region,West Bengal Circle,Block C,Kolkata,West Bengal,011-23456789,NA,Kolkata GPO,,
124777,Mumbai East,Sub Post Office,Delivery,Mumbai Division,Mumbai Region,Maharashtra Circle,Tehsil A,Mumbai,Maharashtra,011-23456789,NA,Mumbai GPO,,
142664,Lucknow GPO,Head Post Office,Delivery,Lucknow Division,Lucknow Region,Uttar Pradesh Circle,Mandal D,Lucknow,Uttar Pradesh,011-23456789,NA,Lucknow GPO,,
239059,New Delhi South,Head Post Office,Non-Delivery,New Delhi Division,New Delhi Region,Delhi Circle,Tehsil A,New Delhi,Delhi,011-23456789,NA,New Delhi GPO,,
995342,New Delhi East,Branch Post Office,Non-Delivery,New Delhi Division,New Delhi Region,Delhi Circle,Tehsil A,New Delhi,Delhi,011-23456789,NA,New Delhi GPO,,
127988,Mumbai Industrial Area,Head Post Office,Delivery,Mumbai Division,Mumbai Region,Maharashtra Circle,Block C,Mumbai,Maharashtra,011-23456789,NA,Mumbai GPO,,
199461,Lucknow Town Hall,Head Post Office,Non-Delivery,Lucknow Division,Lucknow Region,Uttar Pradesh Circle,Block C,Lucknow,Uttar Pradesh,011-23456789,NA,Lucknow GPO,,
503526,Jaipur Central,Branch Post Office,Non-Delivery,Jaipur Division,Jaipur Region,Rajasthan Circle,Tehsil A,Jaipur,Rajasthan,011-23456789,NA,Jaipur GPO,,
332712,New Delhi GPO,Branch Post Office,Non-Delivery,New Delhi Division,New Delhi Region,Delhi Circle,Block C,New Delhi,Delhi,011-23456789,NA,New Delhi GPO,,
803826,Mumbai Town Hall,Branch Post Office,Delivery,Mumbai Division,Mumbai Region,Maharashtra Circle,Tehsil A,Mumbai,Maharashtra,011-23456789,NA,Mumbai GPO,,
997946,Kolkata South,Head Post Office,Delivery,Kolkata Division,Kolkata Region,West Bengal Circle,Block C,Kolkata,West Bengal,011-23456789,NA,Kolkata GPO,,
562248,Chennai Market,Sub Post Office,Delivery,Chennai Division,Chennai Region,Tamil Nadu Circle,Mandal D,Chennai,Tamil Nadu,011-23456789,NA,Chennai GPO,,
707084,Lucknow GPO,Head Post Office,Non-Delivery,Lucknow Division,Lucknow Region,Uttar Pradesh Circle,Mandal D,Lucknow,Uttar Pradesh,011-23456789,NA,Lucknow GPO,,
594189,Mumbai South,Branch Post Office,Delivery,Mumbai Division,Mumbai Region,Maharashtra Circle,Tehsil B,Mumbai,Maharashtra,011-23456789,NA,Mumbai GPO,,
643134,Kolkata GPO,Sub Post Office,Non-Delivery,Kolkata Division,Kolkata Region,West Bengal Circle,Tehsil A,Kolkata,West Bengal,011-23456789,NA,Kolkata GPO,,
183951,Jaipur GPO,Branch Post Office,Non-Delivery,Jaipur Division,Jaipur Region,Rajasthan Circle,Mandal D,Jaipur,Rajasthan,011-23456789,NA,Jaipur GPO,,
569671,Lucknow Village,Head Post Office,Delivery,Lucknow Division,Lucknow Region,Uttar Pradesh Circle,Mandal D,Lucknow,Uttar Pradesh,011-23456789,NA,Lucknow GPO,,
388633,Kolkata Central,Head Post Office,Non-Delivery,Kolkata Division,Kolkata Region,West Bengal Circle,Tehsil A,Kolkata,West Bengal,011-23456789,NA,Kolkata GPO,,
848887,Jaipur West,Head Post Office,Delivery,Jaipur Division,Jaipur Region,Rajasthan Circle,Block C,Jaipur,Rajasthan,011-23456789,NA,Jaipur GPO,,
894231,New Delhi Town Hall,Sub Post Office,Non-Delivery,New Delhi Division,New Delhi Region,Delhi Circle,Mandal D,New Delhi,Delhi,011-23456789,NA,New Delhi GPO,,
602657,Mumbai East,Sub Post Office,Non-Delivery,Mumbai Division,Mumbai Region,Maharashtra Circle,Tehsil B,Mumbai,Maharashtra,011-23456789,NA,Mumbai GPO,,
705479,Bangalore Central,Head Post Office,Non-Delivery,Bangalore Division,Bangalore Region,Karnataka Circle,Tehsil A,Bangalore,Karnataka,011-23456789,NA,Bangalore GPO,,
135252,Jaipur North,Branch Post Office,Non-Delivery,Jaipur Division,Jaipur Region,Rajasthan Circle,Block C,Jaipur,Rajasthan,011-23456789,NA,Jaipur GPO,,
271929,Bangalore Village,Head Post Office,Non-Delivery,Bangalore Division,Bangalore Region,Karnataka Circle,Mandal D,Bangalore,Karnataka,011-23456789,NA,Bangalore GPO,,
794467,Bangalore Central,Sub Post Office,Non-Delivery,Bangalore Division,Bangalore Region,Karnataka Circle,Block C,Bangalore,Karnataka,011-23456789,NA,Bangalore GPO,,
248586,Lucknow Village,Sub Post Office,Non-Delivery,Lucknow Division,Lucknow Region,Uttar Pradesh Circle,Tehsil A,Lucknow,Uttar Pradesh,011-23456789,NA,Lucknow GPO,,
582890,Mumbai Industrial Area,Branch Post Office,Delivery,Mumbai Division,Mumbai Region,Maharashtra Circle,Block C,Mumbai,Maharashtra,011-23456789,NA,Mumbai GPO,,
852497,Chennai Village,Head Post Office,Non-Delivery,Chennai Division,Chennai Region,Tamil Nadu Circle,Tehsil A,Chennai,Tamil Nadu,011-23456789,NA,Chennai GPO,,
985751,Kolkata Market,Head Post Office,Non-Delivery,Kolkata Division,Kolkata Region,West Bengal Circle,Block C,Kolkata,West Bengal,011-23456789,NA,Kolkata GPO,,
925069,Kolkata Market,Sub Post Office,Non-Delivery,Kolkata Division,Kolkata Region,West Bengal Circle,Tehsil A,Kolkata,West Bengal,011-23456789,NA,Kolkata GPO,,
113698,Kolkata Town Hall,Sub Post Office,Non-Delivery,Kolkata Division,Kolkata Region,West Bengal Circle,Tehsil A,Kolkata,West Bengal,011-23456789,NA,Kolkata GPO,,
204754,New Delhi Industrial Area,Sub Post Office,Non-Delivery,New Delhi Division,New Delhi Region,Delhi Circle,Tehsil A,New Delhi,Delhi,011-23456789,NA,New Delhi GPO,,
472787,Mumbai Market,Head Post Office,Non-Delivery,Mumbai Division,Mumbai Region,Maharashtra Circle,Tehsil A,Mumbai,Maharashtra,011-23456789,NA,Mumbai GPO,,
563081,Lucknow West,Sub Post Office,Delivery,Lucknow Division,Lucknow Region,Uttar Pradesh Circle,Tehsil A,Lucknow,Uttar Pradesh,011-23456789,NA,Lucknow GPO,,
918627,New Delhi South,Head Post Office,Non-Delivery,New Delhi Division,New Delhi Region,Delhi Circle,Block C,New Delhi,Delhi,011-23456789,NA,New Delhi GPO,,
714388,New Delhi East,Branch Post Office,Non-Delivery,New Delhi Division,New Delhi Region,Delhi Circle,Mandal D,New Delhi,Delhi,011-23456789,NA,New Delhi GPO,,
867056,Bangalore Central,Sub Post Office,Delivery,Bangalore Division,Bangalore Region,Karnataka Circle,Tehsil B,Bangalore,Karnataka,011-23456789,NA,Bangalore GPO,,
311448,New Delhi GPO,Sub Post Office,Non-Delivery,New Delhi Division,New Delhi Region,Delhi Circle,Block C,New Delhi,Delhi,011-23456789,NA,New Delhi GPO,,
294387,New Delhi GPO,Sub Post Office,Delivery,New Delhi Division,New Delhi Region,Delhi Circle,Tehsil A,New Delhi,Delhi,011-23456789,NA,New Delhi GPO,,
159121,Bangalore East,Head Post Office,Non-Delivery,Bangalore Division,Bangalore Region,Karnataka Circle,Tehsil A,Bangalore,Karnataka,011-23456789,NA,Bangalore GPO,,
672232,New Delhi East,Head Post Office,Delivery,New Delhi Division,New Delhi Region,Delhi Circle,Mandal D,New Delhi,Delhi,011-23456789,NA,New Delhi GPO,,
136712,Lucknow West,Sub Post Office,Non-Delivery,Lucknow Division,Lucknow Region,Uttar Pradesh Circle,Tehsil A,Lucknow,Uttar Pradesh,011-23456789,NA,Lucknow GPO,,
527247,New Delhi East,Head Post Office,Non-Delivery,New Delhi Division,New Delhi Region,Delhi Circle,Mandal D,New Delhi,Delhi,011-23456789,NA,New Delhi GPO,,
111584,Jaipur East,Branch Post Office,Non-Delivery,Jaipur Division,Jaipur Region,Rajasthan Circle,Tehsil A,Jaipur,Rajasthan,011-23456789,NA,Jaipur GPO,,
892340,Bangalore Town Hall,Head Post Office,Non-Delivery,Bangalore Division,Bangalore Region,Karnataka Circle,Mandal D,Bangalore,Karnataka,011-23456789,NA,Bangalore GPO,,
265474,Jaipur Central,Sub Post Office,Delivery,Jaipur Division,Jaipur Region,Rajasthan Circle,Block C,Jaipur,Rajasthan,011-23456789,NA,Jaipur GPO,,
383477,Chennai East,Branch Post Office,Delivery,Chennai Division,Chennai Region,Tamil Nadu Circle,Block C,Chennai,Tamil Nadu,011-23456789,NA,Chennai GPO,,
981415,Bangalore East,Sub Post Office,Non-Delivery,Bangalore Division,Bangalore Region,Karnataka Circle,Tehsil B,Bangalore,Karnataka,011-23456789,NA,Bangalore GPO,,
807314,Kolkata GPO,Branch Post Office,Non-Delivery,Kolkata Division,Kolkata Region,West Bengal Circle,Mandal D,Kolkata,West Bengal,011-23456789,NA,Kolkata GPO,,
422360,Jaipur Industrial Area,Head Post Office,Non-Delivery,Jaipur Division,Jaipur Region,Rajasthan Circle,Tehsil A,Jaipur,Rajasthan,011-23456789,NA,Jaipur GPO,,
361498,Lucknow South,Head Post Office,Delivery,Lucknow Division,Lucknow Region,Uttar Pradesh Circle,Block C,Lucknow,Uttar Pradesh,011-23456789,NA,Lucknow GPO,,
635414,Jaipur Town Hall,Sub Post Office,Non-Delivery,Jaipur Division,Jaipur Region,Rajasthan Circle,Block C,Jaipur,Rajasthan,011-23456789,NA,Jaipur GPO,,
863814,Kolkata West,Branch Post Office,Non-Delivery,Kolkata Division,Kolkata Region,West Bengal Circle,Block C,Kolkata,West Bengal,011-23456789,NA,Kolkata GPO,,
346368,Bangalore Town Hall,Sub Post Office,Non-Delivery,Bangalore Division,Bangalore Region,Karnataka Circle,Mandal D,Bangalore,Karnataka,011-23456789,NA,Bangalore GPO,,
195797,Lucknow Town Hall,Sub Post Office,Delivery,Lucknow Division,Lucknow Region,Uttar Pradesh Circle,Tehsil A,Lucknow,Uttar Pradesh,011-23456789,NA,Lucknow GPO,,
288953,Chennai North,Branch Post Office,Delivery,Chennai Division,Chennai Region,Tamil Nadu Circle,Tehsil A,Chennai,Tamil Nadu,011-23456789,NA,Chennai GPO,,
261648,Chennai East,Sub Post Office,Delivery,Chennai Division,Chennai Region,Tamil Nadu Circle,Block C,Chennai,Tamil Nadu,011-23456789,NA,Chennai GPO,,
834389,Kolkata Industrial Area,Sub Post Office,Non-Delivery,Kolkata Division,Kolkata Region,West Bengal Circle,Tehsil B,Kolkata,West Bengal,011-23456789,NA,Kolkata GPO,,
593239,New Delhi South,Head Post Office,Non-Delivery,New Delhi Division,New Delhi Region,Delhi Circle,Tehsil B,New Delhi,Delhi,011-23456789,NA,New Delhi GPO,,
